DATE,nber_recessions,real_personal_income_less_transfers,real_pce,real_gdp,real_gdi,real_avg_gdp_gdi,total_nonfarm_emp,emp_level,industrial_prod_index,real_manuf_trade_sales,log_real_personal_income_less_transfers,log_real_pce,log_real_gdp,log_real_gdi,log_real_avg_gdp_gdi,log_total_nonfarm_emp,log_emp_level,log_industrial_prod_index,log_real_manuf_trade_sales
1982Q2,1,5166.934,4342.721,6830.251,6819.127,6824.689,90041.0,99745.0,49.0,564477.0,0.020325861022864856,0.012165704709339179,0.018206443354944635,0.014467864695531069,0.016338240682623004,-0.021266983339170684,0.0014439419772347742,0.0,0.022355557529888295
1982Q3,1,5136.189,4371.833,6804.139,6792.63,6798.384,89356.0,99543.0,48.0,554864.0,-0.023872444311982908,0.026725047128985876,-0.015321276228617182,-0.015573027622460883,-0.015447341546051908,-0.030546924600857537,-0.008108870345568045,-0.08247714881094281,-0.06870640026180794
1982Q4,1,5133.349,4448.414,6806.857,6762.848,6784.853,88821.0,99120.0,47.0,548661.0,-0.0022123683245722212,0.06946102477228784,0.0015975318991366826,-0.017576391135426726,-0.007969237068137486,-0.024021129902351203,-0.017033897172380442,-0.08421363679132952,-0.04496909690167994
1983Q1,0,5164.995,4492.395,6896.561,6835.558,6866.06,88999.0,99143.0,48.0,560153.0,0.02458344728821509,0.039353355834822294,0.05236958040645201,0.042776009444164445,0.04759122438459296,0.008008100751481213,0.0009280602070247204,0.08421363679132905,0.08291678500462477
1983Q2,0,5206.875,4583.873,7053.5,6950.444,7001.972,89676.0,99945.0,49.0,576314.0,0.032302932920457154,0.08063322740907332,0.09000426388704767,0.06666974783938756,0.07840555982877935,0.0303121640887743,0.03222712923986754,0.08247714881094244,0.1137707614074873
1983Q3,0,5267.057,4666.07,7194.504,7046.807,7120.655,90604.0,101611.0,51.0,591124.0,0.04596757918209722,0.07109160664922543,0.0791738146760937,0.05507625600323228,0.06723156763069646,0.041180749794272366,0.06612704927112241,0.16002133845479682,0.10149263288991645
1983Q4,0,5397.849,4740.427,7344.597,7210.97,7277.783,91875.0,102588.0,52.0,611230.0,0.0981151133541533,0.06324016163178153,0.08259015864998857,0.09211548474515761,0.08730626914919304,0.05572238139311727,0.038276679326825255,0.07767234342840607,0.13379004457736604
1984Q1,0,5504.97,4779.767,7488.167,7407.687,7447.927,93086.0,103664.0,53.0,624787.0,0.07860311874965818,0.03305833803043746,0.07743640165233698,0.10765906886420486,0.09243782310325944,0.05237935801030271,0.04173573150201783,0.07619277988277764,0.08774988493403431
1984Q2,0,5607.691,4846.731,7617.547,7528.554,7573.05,94123.0,105040.0,54.0,633682.0,0.07395091115350302,0.05565062612556403,0.06852144233980009,0.06473898666971341,0.06664061550147346,0.04431456207503402,0.05274532114775766,0.07476853204861018,0.05654583866924028
1984Q3,0,5704.092,4882.676,7690.985,7607.976,7649.48,95055.0,105363.0,55.0,635312.0,0.06817905462916804,0.029555892596856717,0.038377847517936124,0.041976716660678454,0.040167116634973,0.0394129355570199,0.012281203356856438,0.07339655467278647,0.010275861959588767
